ticker,exchange,icb_code,icb_name,effective_from,effective_to,is_current,issuer_id,state_owner_pct,foreign_room_pct
AAV,HNX,8633,Bất động sản,2020-01-01,,True,,,
ADC,HNX,5557,"Sách, ấn bản & sản phẩm văn hóa",2020-01-01,,True,,,
ALT,HNX,5557,"Sách, ấn bản & sản phẩm văn hóa",2020-01-01,,True,,,
AMC,HNX,1775,Khai khoáng,2020-01-01,,True,,,
AME,HNX,2737,Thiết bị điện,2020-01-01,,True,,,
AMV,HNX,4535,Thiết bị y tế,2020-01-01,,True,,,
API,HNX,8633,Bất động sản,2020-01-01,,True,,,
APS,HNX,8777,Môi giới chứng khoán,2020-01-01,,True,,,
ARM,HNX,2797,Nhà cung cấp thiết bị,2020-01-01,,True,,,
ATS,HNX,5757,Nhà hàng và quán bar,2020-01-01,,True,,,
BAB,HNX,8355,Ngân hàng,2020-01-01,,True,,,
BAX,HNX,2357,Xây dựng,2020-01-01,,True,,,
BBS,HNX,2723,Containers & Đóng gói,2020-01-01,,True,,,
BCC,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
BCF,HNX,3577,Thực phẩm,2020-01-01,,True,,,
BED,HNX,5557,"Sách, ấn bản & sản phẩm văn hóa",2020-01-01,,True,,,
BKC,HNX,1775,Khai khoáng,2020-01-01,,True,,,
BNA,HNX,3577,Thực phẩm,2020-01-01,,True,,,
BPC,HNX,2723,Containers & Đóng gói,2020-01-01,,True,,,
BTS,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
BTW,HNX,7577,Nước,2020-01-01,,True,,,
BVS,HNX,8777,Môi giới chứng khoán,2020-01-01,,True,,,
BXH,HNX,2723,Containers & Đóng gói,2020-01-01,,True,,,
C69,HNX,2357,Xây dựng,2020-01-01,,True,,,
CAG,HNX,2777,"Kho bãi, hậu cần và bảo dưỡng",2020-01-01,,True,,,
CAN,HNX,3577,Thực phẩm,2020-01-01,,True,,,
CAP,HNX,1737,Sản xuất giấy,2020-01-01,,True,,,
CAR,HNX,2793,Đào tạo & Việc làm,2020-01-01,,True,,,
CCR,HNX,2777,"Kho bãi, hậu cần và bảo dưỡng",2020-01-01,,True,,,
CDN,HNX,2777,"Kho bãi, hậu cần và bảo dưỡng",2020-01-01,,True,,,
CEO,HNX,8633,Bất động sản,2020-01-01,,True,,,
CET,HNX,3767,Hàng cá nhân,2020-01-01,,True,,,
CIA,HNX,2777,"Kho bãi, hậu cần và bảo dưỡng",2020-01-01,,True,,,
CJC,HNX,2737,Thiết bị điện,2020-01-01,,True,,,
CKV,HNX,9578,Thiết bị viễn thông,2020-01-01,,True,,,
CLH,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
CLM,HNX,1771,Khai thác Than,2020-01-01,,True,,,
CMC,HNX,2757,Máy công nghiệp,2020-01-01,,True,,,
CMS,HNX,2357,Xây dựng,2020-01-01,,True,,,
CPC,HNX,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020-01-01,,True,,,
CSC,HNX,2357,Xây dựng,2020-01-01,,True,,,
CST,HNX,1771,Khai thác Than,2020-01-01,,True,,,
CTB,HNX,2757,Máy công nghiệp,2020-01-01,,True,,,
CTP,HNX,3537,Đồ uống & giải khát,2020-01-01,,True,,,
CTT,HNX,2757,Máy công nghiệp,2020-01-01,,True,,,
CX8,HNX,2357,Xây dựng,2020-01-01,,True,,,
D11,HNX,8633,Bất động sản,2020-01-01,,True,,,
DAD,HNX,5557,"Sách, ấn bản & sản phẩm văn hóa",2020-01-01,,True,,,
DAE,HNX,5557,"Sách, ấn bản & sản phẩm văn hóa",2020-01-01,,True,,,
DC2,HNX,2357,Xây dựng,2020-01-01,,True,,,
DDG,HNX,7573,Phân phối xăng dầu & khí đốt,2020-01-01,,True,,,
DHP,HNX,2737,Thiết bị điện,2020-01-01,,True,,,
DHT,HNX,4577,Dược phẩm,2020-01-01,,True,,,
DIH,HNX,2357,Xây dựng,2020-01-01,,True,,,
DL1,HNX,2777,"Kho bãi, hậu cần và bảo dưỡng",2020-01-01,,True,,,
DNC,HNX,7535,Sản xuất & Phân phối Điện,2020-01-01,,True,,,
DNP,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
DP3,HNX,4577,Dược phẩm,2020-01-01,,True,,,
DS3,HNX,2777,"Kho bãi, hậu cần và bảo dưỡng",2020-01-01,,True,,,
DST,HNX,5557,"Sách, ấn bản & sản phẩm văn hóa",2020-01-01,,True,,,
DTD,HNX,8633,Bất động sản,2020-01-01,,True,,,
DTG,HNX,4577,Dược phẩm,2020-01-01,,True,,,
DTK,HNX,7535,Sản xuất & Phân phối Điện,2020-01-01,,True,,,
DVM,HNX,4577,Dược phẩm,2020-01-01,,True,,,
DXP,HNX,2777,"Kho bãi, hậu cần và bảo dưỡng",2020-01-01,,True,,,
